## htsjdk.samtools.metrics.StringHeader
# CollectRnaSeqMetrics REF_FLAT=references/Mus_musculus.GRCm38.102.txt STRAND_SPECIFICITY=NONE INPUT=bam/SRR7657872.sorted.bam OUTPUT=bam/SRR7657872.RNA_metrics.txt    MINIMUM_LENGTH=500 RRNA_FRAGMENT_PERCENTAGE=0.8 METRIC_ACCUMULATION_LEVEL=[ALL_READS] ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 09 16:47:01 GMT 2021

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
9606180600	8900405167		4537053732	3314260897	820756817	228333721	0	0	0	10723358	10761206	1852491	0.499119	0.500881		0.509758	0.372372	0.092216	0.025654	0.88213	0.817319	0	0.458807	0.423057	0.422494	0.802451			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.224598
1	0.26875
2	0.332291
3	0.398529
4	0.465165
5	0.530098
6	0.589696
7	0.649508
8	0.702973
9	0.747278
10	0.789652
11	0.821993
12	0.860924
13	0.885712
14	0.913662
15	0.943098
16	0.969528
17	0.994343
18	1.007596
19	1.022097
20	1.037998
21	1.048677
22	1.060164
23	1.070663
24	1.087835
25	1.09989
26	1.116472
27	1.125946
28	1.129542
29	1.127601
30	1.129046
31	1.135893
32	1.139676
33	1.152795
34	1.163184
35	1.166519
36	1.172067
37	1.178672
38	1.180467
39	1.184844
40	1.18711
41	1.195208
42	1.202618
43	1.206766
44	1.210418
45	1.206122
46	1.202117
47	1.202147
48	1.198042
49	1.193809
50	1.200613
51	1.204545
52	1.209427
53	1.209356
54	1.208116
55	1.210508
56	1.212385
57	1.208441
58	1.201538
59	1.200474
60	1.19879
61	1.194548
62	1.19039
63	1.186967
64	1.190716
65	1.187368
66	1.178046
67	1.166286
68	1.154724
69	1.143608
70	1.13401
71	1.123212
72	1.115273
73	1.106352
74	1.100956
75	1.100649
76	1.091338
77	1.078288
78	1.068862
79	1.054885
80	1.037057
81	1.021269
82	1.006318
83	0.988759
84	0.981491
85	0.96682
86	0.947355
87	0.924234
88	0.899058
89	0.870081
90	0.848614
91	0.817849
92	0.785002
93	0.749938
94	0.712226
95	0.669526
96	0.628082
97	0.582035
98	0.535907
99	0.495968
100	0.465564

