## htsjdk.samtools.metrics.StringHeader
# CollectRnaSeqMetrics REF_FLAT=references/Mus_musculus.GRCm38.102.txt STRAND_SPECIFICITY=NONE INPUT=bam/SRR7657873.sorted.bam OUTPUT=bam/SRR7657873.RNA_metrics.txt    MINIMUM_LENGTH=500 RRNA_FRAGMENT_PERCENTAGE=0.8 METRIC_ACCUMULATION_LEVEL=[ALL_READS] ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 09 16:47:01 GMT 2021

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
10384829100	9651073002		5019295041	3648086314	746890572	236801075	0	0	0	11823953	11846510	1957009	0.499524	0.500476		0.520076	0.377998	0.077389	0.024536	0.898074	0.83462	0	0.443475	0.441869	0.44734	0.794578			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.234848
1	0.27921
2	0.344362
3	0.410041
4	0.476535
5	0.537754
6	0.597324
7	0.656929
8	0.709059
9	0.752955
10	0.793345
11	0.82607
12	0.866532
13	0.894171
14	0.924152
15	0.953245
16	0.979606
17	1.001938
18	1.019246
19	1.033744
20	1.050946
21	1.06239
22	1.073734
23	1.083992
24	1.099384
25	1.111192
26	1.126748
27	1.136638
28	1.13872
29	1.136915
30	1.13756
31	1.142118
32	1.145484
33	1.155906
34	1.163462
35	1.167523
36	1.172475
37	1.178963
38	1.1823
39	1.187176
40	1.191027
41	1.200289
42	1.209167
43	1.210793
44	1.212786
45	1.20771
46	1.201536
47	1.200162
48	1.196577
49	1.191826
50	1.195365
51	1.193706
52	1.19829
53	1.197055
54	1.194662
55	1.191216
56	1.190539
57	1.186908
58	1.181909
59	1.183
60	1.179747
61	1.175149
62	1.172882
63	1.170025
64	1.173706
65	1.169593
66	1.162835
67	1.156778
68	1.147617
69	1.137137
70	1.128493
71	1.122944
72	1.120026
73	1.112491
74	1.106159
75	1.103398
76	1.090712
77	1.078558
78	1.067546
79	1.055427
80	1.038494
81	1.023274
82	1.006634
83	0.987261
84	0.979344
85	0.967093
86	0.948469
87	0.923589
88	0.894733
89	0.860109
90	0.835624
91	0.807828
92	0.777961
93	0.746847
94	0.712681
95	0.669804
96	0.628422
97	0.584919
98	0.538168
99	0.495749
100	0.460848

