## htsjdk.samtools.metrics.StringHeader
# CollectRnaSeqMetrics REF_FLAT=references/Mus_musculus.GRCm38.102.txt STRAND_SPECIFICITY=NONE INPUT=bam/SRR7657882.sorted.bam OUTPUT=bam/SRR7657882.RNA_metrics.txt    MINIMUM_LENGTH=500 RRNA_FRAGMENT_PERCENTAGE=0.8 METRIC_ACCUMULATION_LEVEL=[ALL_READS] ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 09 16:47:02 GMT 2021

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
12362207100	11653968991		5931662338	4492691227	934196903	295418523	0	0	0	14520674	14531035	1844810	0.499822	0.500178		0.508982	0.385507	0.080161	0.025349	0.89449	0.843244	0	0.425632	0.466589	0.44651	0.835668			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.254592
1	0.305663
2	0.375145
3	0.445438
4	0.515356
5	0.57842
6	0.638698
7	0.69466
8	0.746072
9	0.794498
10	0.835604
11	0.863285
12	0.900934
13	0.923324
14	0.945737
15	0.968526
16	0.991665
17	1.010154
18	1.01857
19	1.029245
20	1.045271
21	1.056526
22	1.065511
23	1.07434
24	1.086165
25	1.097056
26	1.109772
27	1.120475
28	1.123496
29	1.122658
30	1.121499
31	1.126313
32	1.129511
33	1.141932
34	1.151072
35	1.155919
36	1.16014
37	1.163461
38	1.165216
39	1.170071
40	1.17287
41	1.177784
42	1.187322
43	1.190394
44	1.192608
45	1.187153
46	1.181682
47	1.178311
48	1.175553
49	1.172313
50	1.176415
51	1.174584
52	1.179127
53	1.17866
54	1.178963
55	1.178265
56	1.176801
57	1.175745
58	1.172097
59	1.174953
60	1.170775
61	1.166105
62	1.165329
63	1.162915
64	1.165062
65	1.164048
66	1.157291
67	1.153173
68	1.146497
69	1.138503
70	1.130865
71	1.123411
72	1.117741
73	1.111193
74	1.106993
75	1.101387
76	1.08969
77	1.079354
78	1.068743
79	1.057869
80	1.040962
81	1.022922
82	1.006951
83	0.989078
84	0.981106
85	0.968868
86	0.950485
87	0.927224
88	0.90161
89	0.86976
90	0.848786
91	0.821349
92	0.792343
93	0.757945
94	0.721557
95	0.678132
96	0.636694
97	0.593086
98	0.546056
99	0.503415
100	0.469911

