## htsjdk.samtools.metrics.StringHeader
# CollectRnaSeqMetrics REF_FLAT=references/Mus_musculus.GRCm38.102.txt STRAND_SPECIFICITY=NONE INPUT=bam/SRR7657876.sorted.bam OUTPUT=bam/SRR7657876.RNA_metrics.txt    MINIMUM_LENGTH=500 RRNA_FRAGMENT_PERCENTAGE=0.8 METRIC_ACCUMULATION_LEVEL=[ALL_READS] ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 09 16:47:02 GMT 2021

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
10203900600	9544037381		5104657220	3688313647	526767834	224298680	0	0	0	12124813	12113202	1715501	0.50024	0.49976		0.534853	0.386452	0.055193	0.023501	0.921305	0.861726	0	0.451517	0.42591	0.454254	0.789507			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.238144
1	0.284078
2	0.352255
3	0.421976
4	0.490838
5	0.55414
6	0.614341
7	0.669895
8	0.721428
9	0.762346
10	0.799388
11	0.829562
12	0.866647
13	0.891109
14	0.916408
15	0.94405
16	0.968992
17	0.988936
18	1.002797
19	1.016197
20	1.034051
21	1.047596
22	1.05776
23	1.067207
24	1.080189
25	1.09103
26	1.106085
27	1.115414
28	1.117739
29	1.117338
30	1.11712
31	1.124797
32	1.130542
33	1.144612
34	1.157627
35	1.162265
36	1.168666
37	1.176881
38	1.178272
39	1.181866
40	1.184572
41	1.192816
42	1.2005
43	1.202663
44	1.20331
45	1.196853
46	1.192557
47	1.188751
48	1.185096
49	1.181724
50	1.186938
51	1.186699
52	1.19273
53	1.191825
54	1.192996
55	1.19273
56	1.192296
57	1.190256
58	1.186813
59	1.190253
60	1.187268
61	1.183074
62	1.179918
63	1.178694
64	1.184014
65	1.182402
66	1.177072
67	1.172148
68	1.161086
69	1.153488
70	1.147656
71	1.139287
72	1.130354
73	1.119239
74	1.113765
75	1.10857
76	1.096899
77	1.087164
78	1.075804
79	1.064855
80	1.047556
81	1.028107
82	1.009634
83	0.991959
84	0.985073
85	0.973232
86	0.956718
87	0.9339
88	0.907511
89	0.874309
90	0.851991
91	0.822159
92	0.790434
93	0.754699
94	0.715691
95	0.669857
96	0.628203
97	0.586247
98	0.536513
99	0.492228
100	0.456292

