## htsjdk.samtools.metrics.StringHeader
# CollectRnaSeqMetrics REF_FLAT=references/Mus_musculus.GRCm38.102.txt STRAND_SPECIFICITY=NONE INPUT=bam/SRR7657874.sorted.bam OUTPUT=bam/SRR7657874.RNA_metrics.txt    MINIMUM_LENGTH=500 RRNA_FRAGMENT_PERCENTAGE=0.8 METRIC_ACCUMULATION_LEVEL=[ALL_READS] ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 09 16:47:01 GMT 2021

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
10007916300	8317343637		4287047304	3074817954	746677927	208800452	0	0	0	10138102	10156540	1375939	0.499546	0.500454		0.515435	0.369687	0.089774	0.025104	0.885122	0.735604	0	0.44819	0.435207	0.427524	0.822769			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.234627
1	0.282432
2	0.347554
3	0.413708
4	0.478798
5	0.538958
6	0.597859
7	0.65677
8	0.705614
9	0.748817
10	0.7889
11	0.818206
12	0.856928
13	0.882511
14	0.911143
15	0.940823
16	0.966449
17	0.988988
18	1.003212
19	1.017993
20	1.035096
21	1.047571
22	1.056369
23	1.066143
24	1.080429
25	1.091201
26	1.10729
27	1.117477
28	1.121366
29	1.120238
30	1.122399
31	1.130011
32	1.136787
33	1.150717
34	1.162542
35	1.168936
36	1.174526
37	1.18441
38	1.18811
39	1.192415
40	1.196822
41	1.207229
42	1.214917
43	1.216286
44	1.219604
45	1.213874
46	1.209601
47	1.206822
48	1.203221
49	1.200999
50	1.20838
51	1.208913
52	1.213586
53	1.21229
54	1.21083
55	1.207051
56	1.206006
57	1.20082
58	1.197328
59	1.197935
60	1.193788
61	1.192804
62	1.193795
63	1.190759
64	1.194592
65	1.190384
66	1.183252
67	1.177742
68	1.169783
69	1.160032
70	1.151585
71	1.142822
72	1.137087
73	1.12751
74	1.120502
75	1.115123
76	1.100138
77	1.083577
78	1.069643
79	1.056945
80	1.03862
81	1.021147
82	1.004644
83	0.983417
84	0.972516
85	0.958045
86	0.938602
87	0.912976
88	0.883621
89	0.849552
90	0.825592
91	0.797387
92	0.767577
93	0.731876
94	0.692837
95	0.64955
96	0.608419
97	0.565273
98	0.52134
99	0.482358
100	0.450692

