## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=bam/SRR7657883.insert_size.pdf INPUT=bam/SRR7657883.sorted.bam OUTPUT=bam/SRR7657883.insert_size.txt    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Feb 10 09:18:58 GMT 2021

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
265	252	39	142	157955426	266.616654	64.549677	27345452	FR	15	29	45	61	79	101	129	173	593	3349	19751			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
142	4
143	3
144	5
145	9
146	18
147	30
148	71
149	262
150	17637
151	27642
152	28297
153	29105
154	28703
155	30089
156	30619
157	31307
158	31803
159	32467
160	29344
161	30381
162	31038
163	31959
164	33115
165	34147
166	35618
167	36222
168	37570
169	39273
170	40425
171	41493
172	43719
173	44601
174	45881
175	46956
176	48812
177	50393
178	52365
179	54189
180	55569
181	56995
182	58650
183	61259
184	63223
185	64351
186	66548
187	68603
188	70735
189	72383
190	75628
191	77645
192	79627
193	82137
194	84386
195	86619
196	89300
197	91365
198	93372
199	96637
200	99299
201	102405
202	105182
203	107922
204	109314
205	112590
206	115270
207	117700
208	121712
209	124584
210	127463
211	128683
212	132897
213	135706
214	138084
215	139809
216	141972
217	147950
218	149627
219	150288
220	155061
221	157170
222	159801
223	163961
224	165255
225	168075
226	169852
227	173563
228	173691
229	176111
230	177991
231	179726
232	182938
233	184217
234	185236
235	188465
236	188033
237	188260
238	192025
239	192013
240	193962
241	196754
242	196499
243	195211
244	198438
245	197327
246	198143
247	198990
248	198839
249	198416
250	199955
251	199747
252	200746
253	199746
254	200484
255	199932
256	198629
257	197126
258	196617
259	195915
260	195231
261	193944
262	193776
263	194839
264	193326
265	190986
266	189583
267	188276
268	187764
269	186247
270	184333
271	183641
272	181448
273	179998
274	178131
275	177004
276	174431
277	172921
278	170337
279	168303
280	167453
281	164509
282	161826
283	159910
284	159211
285	157171
286	156435
287	153312
288	151125
289	148609
290	147161
291	144139
292	142818
293	140877
294	138428
295	136657
296	133193
297	130963
298	129213
299	126116
300	122591
301	120701
302	118993
303	116020
304	114037
305	110686
306	108850
307	106379
308	104206
309	102178
310	99296
311	96313
312	94112
313	92292
314	89902
315	87730
