## htsjdk.samtools.metrics.StringHeader
# CollectRnaSeqMetrics REF_FLAT=references/Mus_musculus.GRCm38.102.txt STRAND_SPECIFICITY=NONE INPUT=bam/SRR7657875.sorted.bam OUTPUT=bam/SRR7657875.RNA_metrics.txt    MINIMUM_LENGTH=500 RRNA_FRAGMENT_PERCENTAGE=0.8 METRIC_ACCUMULATION_LEVEL=[ALL_READS] ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 09 16:47:01 GMT 2021

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
10359251100	9726424586		5313844354	3836617978	378148310	197813944	0	0	0	12639533	12655761	1670661	0.499679	0.500321		0.546331	0.394453	0.038878	0.020338	0.940784	0.883313	0	0.471022	0.393779	0.441244	0.747083			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.225948
1	0.268233
2	0.32759
3	0.392217
4	0.45663
5	0.517594
6	0.572484
7	0.626962
8	0.678602
9	0.72369
10	0.764105
11	0.79459
12	0.833807
13	0.859519
14	0.888069
15	0.918029
16	0.943887
17	0.965747
18	0.980423
19	0.995595
20	1.011904
21	1.023216
22	1.031282
23	1.040373
24	1.054777
25	1.068904
26	1.085767
27	1.096372
28	1.100818
29	1.103217
30	1.106146
31	1.115756
32	1.124626
33	1.139941
34	1.148673
35	1.154351
36	1.160628
37	1.171289
38	1.177198
39	1.183423
40	1.185938
41	1.193195
42	1.201122
43	1.203014
44	1.205717
45	1.200609
46	1.19464
47	1.191952
48	1.186553
49	1.179766
50	1.183763
51	1.184015
52	1.190753
53	1.191679
54	1.194367
55	1.198775
56	1.201023
57	1.199534
58	1.19657
59	1.20281
60	1.202347
61	1.200626
62	1.200738
63	1.199479
64	1.205773
65	1.206017
66	1.200546
67	1.194628
68	1.185307
69	1.177889
70	1.173547
71	1.165214
72	1.155994
73	1.144468
74	1.140269
75	1.135858
76	1.123241
77	1.110638
78	1.099874
79	1.08652
80	1.067658
81	1.046907
82	1.031585
83	1.016068
84	1.009326
85	0.994879
86	0.978386
87	0.957486
88	0.932845
89	0.900797
90	0.87774
91	0.844255
92	0.809446
93	0.772297
94	0.731393
95	0.683818
96	0.636813
97	0.586891
98	0.535848
99	0.490687
100	0.455264

