## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[bam/SRR7657877.sorted.bam] OUTPUT=bam/SRR7657877.mkdup.bam METRICS_FILE=bam/SRR7657877.mkdup_metrics.txt CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 09 14:58:53 GMT 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	2692641	33972969	4612153	4413613	1920800	7639738	0	0.243497	63727966

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	21531219	21531219
2.0	1.586787	3691287	3691287
3.0	1.931106	697051	697051
4.0	2.133148	187550	187550
5.0	2.251703	76180	76180
6.0	2.32127	40403	40403
7.0	2.362091	25013	25013
8.0	2.386044	16636	16636
9.0	2.400099	11812	11812
10.0	2.408347	8840	8840
11.0	2.413186	6805	6805
12.0	2.416026	5400	5400
13.0	2.417692	4184	4184
14.0	2.41867	3453	3453
15.0	2.419244	2900	2900
16.0	2.419581	2511	2511
17.0	2.419778	2078	2078
18.0	2.419894	1782	1782
19.0	2.419962	1548	1548
20.0	2.420002	1311	1311
21.0	2.420025	1215	1215
22.0	2.420039	1054	1054
23.0	2.420047	901	901
24.0	2.420052	828	828
25.0	2.420055	795	795
26.0	2.420056	658	658
27.0	2.420057	558	558
28.0	2.420058	579	579
29.0	2.420058	510	510
30.0	2.420058	492	492
31.0	2.420059	497	497
32.0	2.420059	364	364
33.0	2.420059	348	348
34.0	2.420059	358	358
35.0	2.420059	321	321
36.0	2.420059	283	283
37.0	2.420059	280	280
38.0	2.420059	244	244
39.0	2.420059	234	234
40.0	2.420059	223	223
41.0	2.420059	207	207
42.0	2.420059	179	179
43.0	2.420059	186	186
44.0	2.420059	175	175
45.0	2.420059	148	148
46.0	2.420059	145	145
47.0	2.420059	129	129
48.0	2.420059	131	131
49.0	2.420059	110	110
50.0	2.420059	113	113
51.0	2.420059	108	108
52.0	2.420059	105	105
53.0	2.420059	104	104
54.0	2.420059	98	98
55.0	2.420059	74	74
56.0	2.420059	79	79
57.0	2.420059	90	90
58.0	2.420059	72	72
59.0	2.420059	66	66
60.0	2.420059	65	65
61.0	2.420059	68	68
62.0	2.420059	65	65
63.0	2.420059	64	64
64.0	2.420059	54	54
65.0	2.420059	52	52
66.0	2.420059	54	54
67.0	2.420059	57	57
68.0	2.420059	59	59
69.0	2.420059	48	48
70.0	2.420059	46	46
71.0	2.420059	46	46
72.0	2.420059	38	38
73.0	2.420059	40	40
74.0	2.420059	35	35
75.0	2.420059	34	34
76.0	2.420059	26	26
77.0	2.420059	35	35
78.0	2.420059	25	25
79.0	2.420059	27	27
80.0	2.420059	34	34
81.0	2.420059	29	29
82.0	2.420059	28	28
83.0	2.420059	26	26
84.0	2.420059	36	36
85.0	2.420059	33	33
86.0	2.420059	21	21
87.0	2.420059	24	24
88.0	2.420059	27	27
89.0	2.420059	23	23
90.0	2.420059	31	31
91.0	2.420059	22	22
92.0	2.420059	25	25
93.0	2.420059	22	22
94.0	2.420059	11	11
95.0	2.420059	15	15
96.0	2.420059	24	24
97.0	2.420059	14	14
98.0	2.420059	24	24
99.0	2.420059	15	15
100.0	2.420059	23	23
101.0	0	22	22
102.0	0	21	21
103.0	0	8	8
104.0	0	12	12
105.0	0	13	13
106.0	0	19	19
107.0	0	16	16
108.0	0	10	10
109.0	0	12	12
110.0	0	12	12
111.0	0	11	11
112.0	0	17	17
113.0	0	12	12
114.0	0	7	7
115.0	0	6	6
116.0	0	13	13
117.0	0	8	8
118.0	0	17	17
119.0	0	18	18
120.0	0	9	9
121.0	0	5	5
122.0	0	9	9
123.0	0	11	11
124.0	0	2	2
125.0	0	7	7
126.0	0	5	5
127.0	0	12	12
128.0	0	10	10
129.0	0	5	5
130.0	0	7	7
131.0	0	8	8
132.0	0	9	9
133.0	0	4	4
134.0	0	8	8
135.0	0	7	7
136.0	0	8	8
137.0	0	4	4
138.0	0	6	6
139.0	0	4	4
140.0	0	6	6
141.0	0	6	6
142.0	0	3	3
143.0	0	6	6
144.0	0	8	8
145.0	0	3	3
146.0	0	5	5
147.0	0	10	10
148.0	0	7	7
149.0	0	9	9
150.0	0	4	4
151.0	0	4	4
152.0	0	7	7
153.0	0	5	5
154.0	0	4	4
155.0	0	1	1
156.0	0	6	6
157.0	0	5	5
159.0	0	10	10
160.0	0	8	8
161.0	0	3	3
162.0	0	4	4
163.0	0	2	2
164.0	0	9	9
165.0	0	3	3
166.0	0	6	6
167.0	0	5	5
168.0	0	5	5
169.0	0	3	3
170.0	0	2	2
171.0	0	3	3
172.0	0	1	1
173.0	0	3	3
174.0	0	2	2
175.0	0	3	3
176.0	0	4	4
177.0	0	1	1
178.0	0	3	3
179.0	0	4	4
180.0	0	4	4
182.0	0	2	2
184.0	0	1	1
185.0	0	1	1
186.0	0	3	3
187.0	0	2	2
188.0	0	2	2
189.0	0	3	3
190.0	0	1	1
191.0	0	2	2
193.0	0	2	2
194.0	0	3	3
195.0	0	4	4
196.0	0	3	3
197.0	0	2	2
198.0	0	2	2
199.0	0	2	2
200.0	0	1	1
201.0	0	4	4
202.0	0	3	3
203.0	0	3	3
204.0	0	2	2
205.0	0	3	3
206.0	0	1	1
207.0	0	2	2
208.0	0	2	2
211.0	0	4	4
214.0	0	1	1
215.0	0	2	2
216.0	0	2	2
217.0	0	1	1
218.0	0	3	3
219.0	0	1	1
221.0	0	3	3
222.0	0	4	4
223.0	0	2	2
224.0	0	1	1
225.0	0	1	1
226.0	0	1	1
227.0	0	2	2
230.0	0	2	2
231.0	0	2	2
232.0	0	1	1
234.0	0	1	1
235.0	0	2	2
237.0	0	1	1
239.0	0	1	1
241.0	0	1	1
242.0	0	1	1
243.0	0	3	3
247.0	0	3	3
249.0	0	3	3
251.0	0	3	3
255.0	0	1	1
256.0	0	1	1
258.0	0	1	1
259.0	0	1	1
260.0	0	1	1
262.0	0	1	1
264.0	0	1	1
265.0	0	1	1
266.0	0	1	1
267.0	0	2	2
268.0	0	2	2
269.0	0	1	1
270.0	0	1	1
272.0	0	1	1
273.0	0	1	1
274.0	0	1	1
280.0	0	2	2
282.0	0	1	1
283.0	0	1	1
284.0	0	1	1
285.0	0	1	1
287.0	0	1	1
288.0	0	1	1
289.0	0	2	2
297.0	0	1	1
298.0	0	1	1
301.0	0	1	1
302.0	0	1	1
307.0	0	1	1
309.0	0	1	1
311.0	0	1	1
318.0	0	2	2
322.0	0	1	1
332.0	0	1	1
333.0	0	1	1
334.0	0	1	1
345.0	0	1	1
346.0	0	2	2
352.0	0	1	1
353.0	0	1	1
356.0	0	1	1
357.0	0	1	1
359.0	0	1	1
369.0	0	1	1
371.0	0	1	1
376.0	0	1	1
387.0	0	1	1
391.0	0	1	1
402.0	0	1	1
411.0	0	1	1
427.0	0	1	1
434.0	0	1	1
445.0	0	1	1
457.0	0	1	1
473.0	0	1	1
480.0	0	1	1
482.0	0	1	1
486.0	0	1	1
495.0	0	1	1
502.0	0	1	1
518.0	0	1	1
654.0	0	1	1
691.0	0	1	1
720.0	0	1	1
721.0	0	1	1
756.0	0	1	1
833.0	0	1	1

