## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[bam/SRR7657872.sorted.bam] OUTPUT=bam/SRR7657872.mkdup.bam METRICS_FILE=bam/SRR7657872.mkdup_metrics.txt CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 09 14:58:53 GMT 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	2768278	28352744	3581751	4567438	1914630	5620669	0	0.221206	61709582

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	19022268	19022268
2.0	1.631628	2916369	2916369
3.0	2.030582	500182	500182
4.0	2.282573	132765	132765
5.0	2.441737	55292	55292
6.0	2.54227	29516	29516
7.0	2.605769	18264	18264
8.0	2.645877	12057	12057
9.0	2.67121	8587	8587
10.0	2.687212	6189	6189
11.0	2.697318	4711	4711
12.0	2.703702	3738	3738
13.0	2.707734	2923	2923
14.0	2.710281	2367	2367
15.0	2.71189	2008	2008
16.0	2.712906	1605	1605
17.0	2.713548	1372	1372
18.0	2.713953	1164	1164
19.0	2.714209	1008	1008
20.0	2.714371	832	832
21.0	2.714473	800	800
22.0	2.714537	675	675
23.0	2.714578	592	592
24.0	2.714604	553	553
25.0	2.71462	454	454
26.0	2.71463	435	435
27.0	2.714637	376	376
28.0	2.714641	280	280
29.0	2.714644	302	302
30.0	2.714645	263	263
31.0	2.714646	283	283
32.0	2.714647	200	200
33.0	2.714647	205	205
34.0	2.714648	188	188
35.0	2.714648	168	168
36.0	2.714648	147	147
37.0	2.714648	164	164
38.0	2.714648	133	133
39.0	2.714648	135	135
40.0	2.714648	139	139
41.0	2.714648	124	124
42.0	2.714648	108	108
43.0	2.714648	96	96
44.0	2.714648	93	93
45.0	2.714648	87	87
46.0	2.714648	83	83
47.0	2.714648	61	61
48.0	2.714648	81	81
49.0	2.714648	66	66
50.0	2.714648	68	68
51.0	2.714648	57	57
52.0	2.714648	55	55
53.0	2.714648	59	59
54.0	2.714648	50	50
55.0	2.714648	54	54
56.0	2.714648	43	43
57.0	2.714648	48	48
58.0	2.714648	40	40
59.0	2.714648	37	37
60.0	2.714648	45	45
61.0	2.714648	33	33
62.0	2.714648	47	47
63.0	2.714648	29	29
64.0	2.714648	22	22
65.0	2.714648	31	31
66.0	2.714648	31	31
67.0	2.714648	31	31
68.0	2.714648	23	23
69.0	2.714648	30	30
70.0	2.714648	18	18
71.0	2.714648	22	22
72.0	2.714648	22	22
73.0	2.714648	18	18
74.0	2.714648	22	22
75.0	2.714648	12	12
76.0	2.714648	22	22
77.0	2.714648	13	13
78.0	2.714648	17	17
79.0	2.714648	22	22
80.0	2.714648	14	14
81.0	2.714648	18	18
82.0	2.714648	25	25
83.0	2.714648	11	11
84.0	2.714648	11	11
85.0	2.714648	12	12
86.0	2.714648	8	8
87.0	2.714648	8	8
88.0	2.714648	6	6
89.0	2.714648	15	15
90.0	2.714648	11	11
91.0	2.714648	5	5
92.0	2.714648	11	11
93.0	2.714648	10	10
94.0	2.714648	9	9
95.0	2.714648	7	7
96.0	2.714648	9	9
97.0	2.714648	7	7
98.0	2.714648	8	8
99.0	2.714648	6	6
100.0	2.714648	12	12
101.0	0	10	10
102.0	0	11	11
103.0	0	10	10
104.0	0	7	7
105.0	0	7	7
106.0	0	8	8
107.0	0	8	8
108.0	0	5	5
109.0	0	7	7
110.0	0	5	5
111.0	0	8	8
112.0	0	3	3
113.0	0	2	2
114.0	0	5	5
115.0	0	8	8
116.0	0	4	4
117.0	0	9	9
118.0	0	3	3
119.0	0	3	3
