## htsjdk.samtools.metrics.StringHeader
# CollectRnaSeqMetrics REF_FLAT=references/Mus_musculus.GRCm38.102.txt STRAND_SPECIFICITY=NONE INPUT=bam/SRR7657877.sorted.bam OUTPUT=bam/SRR7657877.RNA_metrics.txt    MINIMUM_LENGTH=500 RRNA_FRAGMENT_PERCENTAGE=0.8 METRIC_ACCUMULATION_LEVEL=[ALL_READS] ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 09 16:47:01 GMT 2021

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
11257828800	10571585676		5274162529	4151769183	865649262	280004702	0	0	0	13096985	13105424	1730513	0.499839	0.500161		0.4989	0.392729	0.081885	0.026487	0.891629	0.837278	0	0.424374	0.436569	0.453365	0.784458			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.242294
1	0.294573
2	0.36348
3	0.434555
4	0.50136
5	0.56646
6	0.623225
7	0.677039
8	0.727667
9	0.768717
10	0.805355
11	0.831284
12	0.866713
13	0.887987
14	0.907484
15	0.928685
16	0.949322
17	0.966528
18	0.978272
19	0.991646
20	1.00767
21	1.017732
22	1.026408
23	1.035484
24	1.049857
25	1.060888
26	1.075132
27	1.085373
28	1.088663
29	1.089216
30	1.088331
31	1.09563
32	1.100818
33	1.112468
34	1.121579
35	1.125795
36	1.12797
37	1.133952
38	1.136645
39	1.138763
40	1.139717
41	1.145507
42	1.155313
43	1.161817
44	1.163758
45	1.158579
46	1.153817
47	1.150676
48	1.148436
49	1.143344
50	1.146642
51	1.144906
52	1.14885
53	1.148042
54	1.14974
55	1.164357
56	1.176739
57	1.177255
58	1.175348
59	1.182313
60	1.184157
61	1.183173
62	1.186862
63	1.185501
64	1.18953
65	1.188351
66	1.175419
67	1.167102
68	1.163089
69	1.155623
70	1.152175
71	1.14244
72	1.134238
73	1.128497
74	1.125663
75	1.123603
76	1.116729
77	1.103815
78	1.103165
79	1.094414
80	1.083961
81	1.072476
82	1.066918
83	1.058492
84	1.052474
85	1.031805
86	1.007756
87	0.989159
88	0.978647
89	0.964692
90	0.949643
91	0.909713
92	0.868451
93	0.824709
94	0.782596
95	0.736901
96	0.688411
97	0.632172
98	0.566152
99	0.503425
100	0.456766

