## htsjdk.samtools.metrics.StringHeader
# CollectRnaSeqMetrics REF_FLAT=references/Mus_musculus.GRCm38.102.txt STRAND_SPECIFICITY=NONE INPUT=bam/SRR7657879.sorted.bam OUTPUT=bam/SRR7657879.RNA_metrics.txt    MINIMUM_LENGTH=500 RRNA_FRAGMENT_PERCENTAGE=0.8 METRIC_ACCUMULATION_LEVEL=[ALL_READS] ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 09 16:47:01 GMT 2021

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
9957213000	9303009879		4879290348	3486764611	705562949	231391971	0	0	0	11549688	11538750	1628737	0.500237	0.499763		0.524485	0.3748	0.075842	0.024873	0.899285	0.8402	0	0.454938	0.438352	0.436102	0.846701			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.244178
1	0.290886
2	0.357672
3	0.426171
4	0.494531
5	0.558576
6	0.619186
7	0.678065
8	0.72953
9	0.778166
10	0.820209
11	0.849574
12	0.889249
13	0.916257
14	0.93995
15	0.966116
16	0.988028
17	1.008596
18	1.018947
19	1.033581
20	1.050991
21	1.06173
22	1.072204
23	1.0814
24	1.093972
25	1.104659
26	1.119715
27	1.129649
28	1.131192
29	1.128577
30	1.126858
31	1.130969
32	1.135936
33	1.150975
34	1.162905
35	1.165891
36	1.169233
37	1.175229
38	1.179806
39	1.183848
40	1.185497
41	1.192074
42	1.197499
43	1.197589
44	1.197103
45	1.189102
46	1.182604
47	1.177767
48	1.175239
49	1.171032
50	1.176462
51	1.179137
52	1.18714
53	1.185141
54	1.185576
55	1.185742
56	1.183502
57	1.180462
58	1.176947
59	1.177973
60	1.174766
61	1.172694
62	1.170808
63	1.169347
64	1.173897
65	1.173009
66	1.167319
67	1.163838
68	1.154859
69	1.145463
70	1.1394
71	1.132318
72	1.127087
73	1.119191
74	1.113617
75	1.108328
76	1.096068
77	1.085645
78	1.074063
79	1.06025
80	1.040208
81	1.022087
82	1.003307
83	0.983363
84	0.976077
85	0.965807
86	0.949768
87	0.925344
88	0.896377
89	0.862734
90	0.840819
91	0.811746
92	0.781977
93	0.746731
94	0.707587
95	0.662755
96	0.619402
97	0.573916
98	0.526304
99	0.483168
100	0.448757

