## htsjdk.samtools.metrics.StringHeader
# CollectRnaSeqMetrics REF_FLAT=references/Mus_musculus.GRCm38.102.txt STRAND_SPECIFICITY=NONE INPUT=bam/SRR7657878.sorted.bam OUTPUT=bam/SRR7657878.RNA_metrics.txt    MINIMUM_LENGTH=500 RRNA_FRAGMENT_PERCENTAGE=0.8 METRIC_ACCUMULATION_LEVEL=[ALL_READS] ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 09 16:47:02 GMT 2021

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
9844812600	9220013572		4843759606	3610328478	549499688	216425800	0	0	0	11646419	11653736	1649469	0.499843	0.500157		0.525353	0.391575	0.059599	0.023473	0.916928	0.858735	0	0.441462	0.406572	0.448438	0.768555			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.23699
1	0.283421
2	0.349392
3	0.418253
4	0.485636
5	0.549922
6	0.608222
7	0.663897
8	0.717808
9	0.754647
10	0.787057
11	0.816563
12	0.855915
13	0.87997
14	0.904533
15	0.931338
16	0.956048
17	0.973665
18	0.984863
19	0.999147
20	1.016615
21	1.029288
22	1.039532
23	1.050556
24	1.064613
25	1.076119
26	1.091442
27	1.098938
28	1.101552
29	1.100224
30	1.097966
31	1.104911
32	1.112806
33	1.12602
34	1.133934
35	1.140046
36	1.147893
37	1.157869
38	1.161181
39	1.166107
40	1.170439
41	1.17928
42	1.187162
43	1.190472
44	1.194756
45	1.192127
46	1.190715
47	1.18983
48	1.185988
49	1.179097
50	1.181018
51	1.179114
52	1.185794
53	1.185811
54	1.187237
55	1.187282
56	1.18812
57	1.187118
58	1.184381
59	1.187912
60	1.188721
61	1.190617
62	1.192656
63	1.190457
64	1.194513
65	1.193703
66	1.187586
67	1.181102
68	1.17097
69	1.163849
70	1.158331
71	1.151561
72	1.145868
73	1.138072
74	1.134477
75	1.130682
76	1.117787
77	1.105707
78	1.094665
79	1.08176
80	1.0634
81	1.047247
82	1.032322
83	1.018671
84	1.013284
85	1.000832
86	0.983912
87	0.963352
88	0.937343
89	0.903732
90	0.879462
91	0.847585
92	0.810508
93	0.771889
94	0.731352
95	0.683071
96	0.638634
97	0.592682
98	0.536918
99	0.485947
100	0.443026

