## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=bam/SRR7657881.insert_size.pdf INPUT=bam/SRR7657881.sorted.bam OUTPUT=bam/SRR7657881.insert_size.txt    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Feb 10 09:18:58 GMT 2021

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
267	254	38	144	172538458	268.159973	61.14282	30030016	FR	15	29	45	59	77	97	123	163	287	2435	16615			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
144	2
145	8
146	20
147	26
148	69
149	231
150	17500
151	28082
152	28348
153	29129
154	29443
155	30136
156	30934
157	31831
158	31956
159	32742
160	30191
161	30748
162	31474
163	32425
164	33894
165	34966
166	35927
167	36685
168	38255
169	39442
170	41428
171	42163
172	44293
173	45186
174	46438
175	48383
176	49524
177	51543
178	53056
179	54462
180	56111
181	58093
182	59745
183	61801
184	64360
185	66289
186	68077
187	70708
188	72205
189	73997
190	77274
191	78378
192	80865
193	83735
194	86025
195	88370
196	91242
197	93691
198	96589
199	99941
200	101880
201	104495
202	108167
203	110781
204	113074
205	116086
206	119164
207	121467
208	125364
209	128754
210	131439
211	133651
212	136705
213	139908
214	142706
215	146806
216	149213
217	155078
218	156487
219	157831
220	160586
221	164273
222	168008
223	171838
224	174925
225	176943
226	178466
227	182972
228	183459
229	186968
230	188990
231	190727
232	194939
233	195302
234	197767
235	200280
236	201560
237	202095
238	205803
239	207557
240	208859
241	211446
242	213801
243	212478
244	215115
245	215270
246	216882
247	218489
248	218492
249	218461
250	220056
251	220042
252	220434
253	221504
254	221942
255	221151
256	220690
257	220170
258	219727
259	221107
260	219303
261	219487
262	218876
263	220119
264	218002
265	217412
266	216340
267	214269
268	214223
269	214726
270	212368
271	211298
272	208329
273	205802
274	205620
275	204403
276	201490
277	200184
278	197792
279	195326
280	195545
281	192504
282	190835
283	188765
284	186781
285	184861
286	184265
287	181279
288	179156
289	177764
290	175388
291	172188
292	170001
293	167991
294	165626
295	162787
296	160035
297	157398
298	155977
299	152375
300	149998
301	147942
302	145080
303	140649
304	139209
305	135065
306	132799
307	130671
308	128088
309	125769
310	123477
311	120701
312	116380
313	114947
314	111416
315	110143
316	108294
317	105389
