## htsjdk.samtools.metrics.StringHeader
# CollectRnaSeqMetrics REF_FLAT=references/Mus_musculus.GRCm38.102.txt STRAND_SPECIFICITY=NONE INPUT=bam/SRR7657883.sorted.bam OUTPUT=bam/SRR7657883.RNA_metrics.txt    MINIMUM_LENGTH=500 RRNA_FRAGMENT_PERCENTAGE=0.8 METRIC_ACCUMULATION_LEVEL=[ALL_READS] ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 09 16:47:04 GMT 2021

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
9036208500	8540397381		4605354398	3217427966	519474823	198140194	0	0	0	10851829	10845518	1369112	0.500145	0.499855		0.539244	0.37673	0.060826	0.0232	0.915974	0.865715	0	0.447062	0.464006	0.438203	0.846727			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.243894
1	0.296299
2	0.368431
3	0.445097
4	0.516709
5	0.581431
6	0.645159
7	0.704383
8	0.75496
9	0.793833
10	0.826719
11	0.853602
12	0.891798
13	0.919553
14	0.945531
15	0.971713
16	0.994207
17	1.013962
18	1.029463
19	1.045392
20	1.062984
21	1.074348
22	1.086109
23	1.097176
24	1.109622
25	1.120143
26	1.131344
27	1.143995
28	1.147289
29	1.149078
30	1.148497
31	1.152465
32	1.157439
33	1.168615
34	1.175033
35	1.174506
36	1.178462
37	1.185176
38	1.188553
39	1.192557
40	1.19343
41	1.196739
42	1.203287
43	1.20442
44	1.205944
45	1.202006
46	1.19612
47	1.190804
48	1.187497
49	1.18311
50	1.186551
51	1.188537
52	1.193237
53	1.189235
54	1.187492
55	1.184725
56	1.183382
57	1.180217
58	1.175431
59	1.176606
60	1.172712
61	1.166957
62	1.16646
63	1.165094
64	1.167534
65	1.166062
66	1.160292
67	1.153828
68	1.144573
69	1.133265
70	1.124396
71	1.114573
72	1.107754
73	1.098447
74	1.091386
75	1.084471
76	1.070692
77	1.058275
78	1.047507
79	1.03655
80	1.018085
81	0.999442
82	0.981389
83	0.965095
84	0.956639
85	0.94472
86	0.9256
87	0.900176
88	0.872192
89	0.837507
90	0.814994
91	0.787237
92	0.758374
93	0.725519
94	0.690142
95	0.646906
96	0.610724
97	0.573151
98	0.526497
99	0.486244
100	0.453786

