## htsjdk.samtools.metrics.StringHeader
# CollectRnaSeqMetrics REF_FLAT=references/Mus_musculus.GRCm38.102.txt STRAND_SPECIFICITY=NONE INPUT=bam/SRR7657880.sorted.bam OUTPUT=bam/SRR7657880.RNA_metrics.txt    MINIMUM_LENGTH=500 RRNA_FRAGMENT_PERCENTAGE=0.8 METRIC_ACCUMULATION_LEVEL=[ALL_READS] ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 09 16:47:02 GMT 2021

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
9877308300	9222766435		4602934489	3608726011	769917096	241188839	0	0	0	11369226	11377992	1556265	0.499807	0.500193		0.499084	0.391285	0.08348	0.026151	0.890368	0.831366	0	0.443686	0.418419	0.431375	0.758595			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.242917
1	0.289124
2	0.352359
3	0.41659
4	0.482897
5	0.544831
6	0.603529
7	0.659691
8	0.712697
9	0.75713
10	0.793402
11	0.822109
12	0.859296
13	0.881567
14	0.904416
15	0.931267
16	0.953453
17	0.969634
18	0.981747
19	0.996181
20	1.012288
21	1.022279
22	1.029206
23	1.038896
24	1.053072
25	1.066157
26	1.084068
27	1.093781
28	1.096636
29	1.096088
30	1.095982
31	1.102207
32	1.108483
33	1.121634
34	1.129575
35	1.136507
36	1.142844
37	1.153802
38	1.155634
39	1.159628
40	1.162221
41	1.171122
42	1.179942
43	1.185696
44	1.188283
45	1.181429
46	1.176006
47	1.174065
48	1.172504
49	1.16655
50	1.166207
51	1.166003
52	1.172046
53	1.171371
54	1.173863
55	1.183826
56	1.190168
57	1.189939
58	1.189381
59	1.196499
60	1.197578
61	1.196249
62	1.196418
63	1.192215
64	1.193292
65	1.188046
66	1.177513
67	1.167781
68	1.159815
69	1.154616
70	1.149882
71	1.139404
72	1.130602
73	1.122525
74	1.119525
75	1.118888
76	1.113077
77	1.100124
78	1.097049
79	1.085851
80	1.071516
81	1.060904
82	1.053717
83	1.040246
84	1.034637
85	1.015096
86	0.994247
87	0.975945
88	0.958339
89	0.934651
90	0.914005
91	0.878096
92	0.84079
93	0.798697
94	0.755255
95	0.706027
96	0.657871
97	0.604025
98	0.544972
99	0.491197
100	0.450604

